camera ,Location,zip,city,state,D,Date Deployed
Y,2950 W. Camp Wisdom Rd,75052,Dallas,TX,SC,2/21/2024
Y,121 Murdock Rd,75217,Dallas,TX,SE,12/29/2023
Y,7202 S. Westmoreland Rd,75237,Dallas,TX,SW,4/26/2024
Y,1701 Cadiz St,75201,Dallas,TX,C,6/6/2024
Y,9763 Webb Chapel Rd,75220,Dallas,TX,NW,2/13/2024
Y,4010 W. Camp Wisdom Rd,75237,Dallas,TX,SW,1/25/2024
Y,3535 Lombardy,75220,Dallas,TX,NW,2/2/2024
Y,"100 US-80 Mesquite, TX",75149,Dallas,TX,,4/5/2024
Y,3300 Carpenter Ave,75215,Dallas,TX,SE,4/12/2024
Y,1950 Fort Worth Ave,75208,Dallas,TX,SW,6/18/2024
Y,13207 Esperanza Rd,75240,Dallas,TX,NC,1/18/2024
Y,8200 E. R.L. Thorton Fwy,75228,Dallas,TX,SE,1/11/2024
Y,6204 Samuell Blvd,75228,Dallas,TX,SE,5/15/2024
Y,3627 Bonnie View Rd,75216,Dallas,TX,SC,1/8/2024
Y,3728 Bonnie View Rd,75216,Dallas,TX,SC,2/20/2024
Y,9715 Walnut St,75203,Dallas,TX,NE,1/5/2024
Y,13030 Audelia Rd,75243,Dallas,TX,NE,4/24/2024
Y,9669 Forest Lane,75243,Dallas,TX,NE,6/6/2024
Y,300 S. Marsalis Ave,75203,Dallas,TX,SW,12/5/2023
,2880 Peavy Rd,75228,Dallas,TX,SE,3/12/2024
,3627 Bonnie View Rd,75216,Dallas,TX,SC,
,3810 Bonnie View Rd,75216,Dallas,TX,SC,
,3820 Bonnie View Rd,75216,Dallas,TX,SC,
,3823 Bonnie View Rd,75216,Dallas,TX,SC,
,3900 Investor Dr,75237,Dallas,TX,SW,
,7272 Marvin D Love Fwy,75237,Dallas,TX,SC,
,7501 Chesterfield Dr,75237,Dallas,TX,SC,
,7202 S. Westmoreland Rd,75237,Dallas,TX,SW,
,3150 Cliff Creek Crossing Dr,75237,Dallas,TX,SC,
,4242 Independence Dr,75237,Dallas,TX,SW,
,"7251 Chaucer Pl (scheduled, but not yet performed)",75237,Dallas,TX,SC,
,12516 Audelia Rd,75243,Dallas,TX,NE,
,12920 Audelia Rd,75243,Dallas,TX,NE,
,10303 Audelia Rd,75238,Dallas,TX,NE,
,13015 Audelia Rd,75243,Dallas,TX,NE,
,9944 Walnut St,75243,Dallas,TX,NE,
,10000 Walnut St,75243,Dallas,TX,NE,
,9779 Forest Ln,75243,Dallas,TX,NE,
,3535 Lombardy Ln,75220,Dallas,TX,NW,
,9480 Webb Chapel Rd,75220,Dallas,TX,NW,
,9763 Webb Chapel Rd,75220,Dallas,TX,NW,
,9765 Webb Chapel Rd,75220,Dallas,TX,NW,
,"3410 Hidalgo Dr (scheduled, but not yet performed)",75220,Dallas,TX,NW,
,8200 E. R. L. Thorton Fwy,75228,Dallas,TX,SE,
,8228 E. R. L. Thorton Fwy,75228,Dallas,TX,SE,
,13999 Goldmark Dr,75240,Dallas,TX,NC,
,13450 Esperanza Rd,75240,Dallas,TX,NC,
,13512 Esperanza Rd,75240,Dallas,TX,NC,
,13606 Esperanza Rd,75240,Dallas,TX,NC,
,13652 Esperanza Rd,75240,Dallas,TX,NC,
,5005 Columbia Ave,75214,Dallas,TX,C,
,106 S. Fitzhugh Ave,75226,Dallas,TX,C,
,13100 Noel Rd,75204,Dallas,TX,NC,
,2120 N. Olive St,75201,Dallas,TX,C,
,6185 Retail Rd,75231,Dallas,TX,NE,
,4217 2nd Ave,75215,Dallas,TX,SE,
,"1950 Fort Worth Ave (scheduled, but not yet performed)",75208,Dallas,TX,,
