"division","Month","mean"
"Central","January",12
"Central","February",17
"Central","March",12
"Central","April",16
"Central","May",18
"Central","June",21
"Central","July",19
"Central","August",18
"Central","September",18
"Central","October",19
"Central","November",12
"Central","December",10
"North Central","January",14
"North Central","February",10
"North Central","March",11
"North Central","April",12
"North Central","May",8
"North Central","June",15
"North Central","July",7
"North Central","August",12
"North Central","September",10
"North Central","October",6
"North Central","November",10
"North Central","December",6
"Northeast","January",16
"Northeast","February",19
"Northeast","March",20
"Northeast","April",21
"Northeast","May",24
"Northeast","June",25
"Northeast","July",25
"Northeast","August",26
"Northeast","September",18
"Northeast","October",21
"Northeast","November",18
"Northeast","December",14
"Northwest","January",17
"Northwest","February",16
"Northwest","March",18
"Northwest","April",20
"Northwest","May",19
"Northwest","June",22
"Northwest","July",16
"Northwest","August",19
"Northwest","September",23
"Northwest","October",20
"Northwest","November",17
"Northwest","December",16
"South Central","January",14
"South Central","February",20
"South Central","March",25
"South Central","April",18
"South Central","May",22
"South Central","June",24
"South Central","July",26
"South Central","August",24
"South Central","September",26
"South Central","October",22
"South Central","November",18
"South Central","December",22
"Southeast","January",27
"Southeast","February",34
"Southeast","March",20
"Southeast","April",37
"Southeast","May",30
"Southeast","June",30
"Southeast","July",33
"Southeast","August",24
"Southeast","September",28
"Southeast","October",30
"Southeast","November",28
"Southeast","December",31
"Southwest","January",22
"Southwest","February",20
"Southwest","March",22
"Southwest","April",20
"Southwest","May",24
"Southwest","June",30
"Southwest","July",27
"Southwest","August",22
"Southwest","September",26
"Southwest","October",16
"Southwest","November",22
"Southwest","December",23
