"division","Month","mean"
"Central","January",12
"Central","February",12
"Central","March",16
"Central","April",15
"Central","May",18
"Central","June",17
"Central","July",18
"Central","August",18
"Central","September",13
"Central","October",14
"Central","November",13
"Central","December",14
"North Central","January",11
"North Central","February",8
"North Central","March",11
"North Central","April",10
"North Central","May",10
"North Central","June",9
"North Central","July",10
"North Central","August",9
"North Central","September",8
"North Central","October",9
"North Central","November",9
"North Central","December",10
"Northeast","January",23
"Northeast","February",16
"Northeast","March",23
"Northeast","April",20
"Northeast","May",25
"Northeast","June",21
"Northeast","July",22
"Northeast","August",23
"Northeast","September",19
"Northeast","October",19
"Northeast","November",18
"Northeast","December",19
"Northwest","January",18
"Northwest","February",11
"Northwest","March",17
"Northwest","April",17
"Northwest","May",20
"Northwest","June",17
"Northwest","July",20
"Northwest","August",18
"Northwest","September",17
"Northwest","October",16
"Northwest","November",14
"Northwest","December",17
"South Central","January",22
"South Central","February",18
"South Central","March",24
"South Central","April",22
"South Central","May",26
"South Central","June",20
"South Central","July",23
"South Central","August",20
"South Central","September",20
"South Central","October",19
"South Central","November",18
"South Central","December",18
"Southeast","January",26
"Southeast","February",20
"Southeast","March",24
"Southeast","April",28
"Southeast","May",28
"Southeast","June",32
"Southeast","July",30
"Southeast","August",26
"Southeast","September",24
"Southeast","October",25
"Southeast","November",21
"Southeast","December",26
"Southwest","January",21
"Southwest","February",15
"Southwest","March",20
"Southwest","April",23
"Southwest","May",25
"Southwest","June",22
"Southwest","July",21
"Southwest","August",21
"Southwest","September",20
"Southwest","October",18
"Southwest","November",16
"Southwest","December",19
