objectid,partner,date,event_type,summary,comments,people_served,lbs_trash,district,bags,street_address,lbs_produce,formatted_month,division,globalid,CreationDate,Creator,EditDate,Editor,volunteer_name,month_year
2,Urban Specialists ,2024-07-20,Community Mentorship,Connected Monter Mon to Itziar at Forest Audelia Boxing gym so his son who is on probation could connect to the gym and so Mon could help Itziar by mentoring youth at the recreation center.,,,,,0,,0,"July, 2024",,,,,,,,2024-07-01
3,Urban Specialists ,2024-07-20,Clean Up,Urban Specialists team did a clean up of the Forest Audelia basketball courts and park area,,,,,0,,0,"July, 2024",NORTHEAST,,,,,,,2024-07-01
4,Urban Specialists ,2024-07-22,Workforce Training,Connecting Gale aka AJ to workforce and other hiring possibilities. He is a highschool student who is a victim of violence who lost his eye during a shooting that also killed his friend at a downtown 7-11. We will also be seeing about ways to have him help assist with Killin Ain't Cool,,,,,0,,0,"July, 2024",,,,,,,,2024-07-01
5,Pop Up Comfort ,2024-06-29,Produce Drive,"Produce drive in the northeast hot spot
115 bags of produce 
300 people able to eat from those bags ",Produce drive,300,,NORTHEAST,115,,1150,"June, 2024",NORTHEAST,,,,,,,2024-06-01
6,Pop Up Comfort ,2024-07-12,Inspection / Site Visit,"Drove to the edan Apts. Did some area canvassing, the neighborhood is extremely active with open air drug sales, high trash build ups, boarded up church. Didn't get many photos , did see areas we could win...especially with the help from Corey he knows the area well.",,,,SOUTHEAST,0,,0,"July, 2024",SOUTHEAST,,,,,,,2024-07-01
7,Pop Up Comfort ,2024-07-30,Inspection / Site Visit,"Viewed the Shady brook and park lane area.

There's a growing house less community right off shady Brook, next to McDonald's..across from that area there's a couple corner stores and shopping centers where people hang out and some were sleeping.",,0,,NORTHEAST,0,,0,"July, 2024",NORTHEAST,,,,,,,2024-07-01
8,Pop Up Comfort ,2024-07-29,Inspection / Site Visit,"Went to check out 2833 E Ledbetter. 
A very open air drug location sales and usage.

The biggest visual issue is the abandoned McDonald's where everyone hang out and do their thing. 
Mostly the youth.  I think many of the youth were unhoused. Went back at night and noticed some youth sleeping in the dart bus stops.

The apartments in the area has some work to do...

I spoke with serun and will loop them in so they can handle the code end of it!!",,0,,SOUTHWEST,0,,0,"July, 2024",SOUTHWEST,,,,,,,2024-07-01
9,Pop Up Comfort ,2024-08-11,other,"Set up at forest and Audelia.  Passed out tons of school supplies and produce,
Engaged the community and got to hear their needs and wants for the area",Back to school event,102,,NORTHEAST,0,,0,"August, 2024",NORTHEAST,,,,,,,2024-08-01
10,Pop Up Comfort ,2024-08-12,Inspection / Site Visit,"Went to Ledbetter park. 

Measured the playground area so we can start work this week. The area will need the weeds removed so we can add the mulch.  Also marked the area to add inexpensive soccer goals

Also the property across the street has turned into a jungle its completely out of hand ",,0,,SOUTHWEST,0,,0,"August, 2024",SOUTHWEST,,,,,,,2024-08-01
11,Pop Up Comfort ,2024-08-13,Inspection / Site Visit,"Went to canvas Martin lurther king and 45

This area actually looks pretty good other than construction.  No more house less set ups.the park is clean and active..it's 4mins from out Jeffries location.

This may be one we can remove from the list..",,0,,SOUTHEAST,0,,0,"August, 2024",SOUTHEAST,,,,,,,2024-08-01
