date,street_address,zip_code,city,state,partner ,district,event_type,lbs_trash,people_served,bags,property_type,work_type,summary,comments,lat,long,completed
4/13/2024,2800 Camp Wisdom Rd,75237,Dallas,TX,Robbin Hood INC,South West,clean,650,0,0,,,"A Get Up 2 Code event was done on two properties simultaneously- on one property (Pastor Jenkins) we removed multiple articles of bulk trash including a broken go-kart, air conditioners, bath tub, couches, mattresses, and more. On the other property (Jeff) we removed large piles of dead branches and overgrown vegetation, as well as multiple junk doors and door panes.",Clients were uncomfortable with before pictures- going forward we will get proper before/after photos,,,
4/13/2024,5542 N Jim Miller rd,75228,Dallas,TX,Not My Son,South East,clean,540,0,0,,,"At the inaugural Clean and Green event, we successfully cleaned multiple parking lots and storefronts that were heavily littered, making a significant difference all the way up to the doors. The positive feedback from store managers, owners, and patrons underscores the impact and importance of our efforts in improving the local environment. In addition to the physical cleanup, our Clean and Green event fostered a strong sense of community within the neighborhood. By working together toward a common goal of beautification and environmental stewardship, we strengthened bonds among residents and businesses, creating a more connected and supportive community spirit.","We plan to leverage social media platforms to share success stories, photos, and future event announcements can help broaden community involvement.",,,
4/13/2024,3623 Bonnie View Rd,75216,Dallas,TX,United Peoples Coalition ,South Central,clean,50,0,0,,,Cleared a parking lot and grassed areas,na,,,
4/13/2024,9761 walnut st,75243,Dallas,TX,Pop Up Comfortt,North East,clean,30,0,0,,,"Today we were about to clean the entire area, we crossed the intersection once we finished in our area to continue the cleaning. The volunteers were very excited and wanted to keep going.  So we did all 4 corners of the intersection. We keep the glass separated in order to ♻️ it. We also are deciding to have a lawn care team.come to the area and cut the grass. The city missed some areas. Neighbors honked and gave us thumbs up.",We have more photos to share aswell,,,
4/13/2024,13450 Esperanza Rd,75240,Dallas,TX,United Peoples Coalition ,North Central,clean,5,0,0,,,Collectively we covered 3 blocks on Esperanza Rd collecting trash and debris along the walk/bike path.,na,,,
4/13/2024,9501 Larga Dr,75220,Dallas,TX,United Peoples Coalition ,North West,clean,80,,0,,,,,,,
4/25/2024,3623 Bonnie View,75216,Dallas,TX,United Peoples Coalition ,South Central,clean,50,0,0,,,Cleared the parking lot and gated in edges of grass where kids play. Multiple volunteers came out,If we cut the grass in the back area it would be a great place for the kids to play. They would do well with a basketball court to help the community enjoy the open space more,,,
4/27/2024,6100 Samuell Blvd ,75228,Dallas,TX,Not My Son,South East,distribution,0,252,150,,,,We would like more fruit.,,,
4/27/2024,7191 American Way,75237,Dallas,TX,Robbin Hood INC and Oak Cliff Veggie Project,South West,distribution,0,35,40,,,,"This is a very unique sight, early afternoon produce drive may reach more residents than morning drives. Also, “ready to eat” bags will be great for this site as well. A very close knit community (everyone knows everyone).",,,
4/27/2024,9756 Walnut St,75243,Dallas,TX,Pop Up Comfortt,North East,distribution,0,87,87,,,,We also added bread to our produce drive. This is something we're going to attempt to add site wide..the community was so surprised it was for free,,,
