"","division","Month","mean_count","mean"
"1","Central","January",33,33
"2","Central","February",47,47
"3","Central","March",41,41
"4","Central","April",35,35
"5","Central","May",57,57
"6","Central","June",62,62
"7","Central","July",51,51
"8","Central","August",53,53
"9","Central","September",59,59
"10","Central","October",20,20
"11","North Central","January",36,36
"12","North Central","February",27,27
"13","North Central","March",32,32
"14","North Central","April",37,37
"15","North Central","May",19,19
"16","North Central","June",35,35
"17","North Central","July",18,18
"18","North Central","August",28,28
"19","North Central","September",27,27
"20","North Central","October",11,11
"21","Northeast","January",40,40
"22","Northeast","February",42,42
"23","Northeast","March",62,62
"24","Northeast","April",49,49
"25","Northeast","May",49,49
"26","Northeast","June",57,57
"27","Northeast","July",47,47
"28","Northeast","August",67,67
"29","Northeast","September",47,47
"30","Northeast","October",29,29
"31","Northwest","January",41,41
"32","Northwest","February",46,46
"33","Northwest","March",59,59
"34","Northwest","April",45,45
"35","Northwest","May",49,49
"36","Northwest","June",45,45
"37","Northwest","July",48,48
"38","Northwest","August",58,58
"39","Northwest","September",61,61
"40","Northwest","October",32,32
"41","South Central","January",30,30
"42","South Central","February",39,39
"43","South Central","March",56,56
"44","South Central","April",40,40
"45","South Central","May",49,49
"46","South Central","June",50,50
"47","South Central","July",55,55
"48","South Central","August",51,51
"49","South Central","September",48,48
"50","South Central","October",23,23
"51","Southeast","January",55,55
"52","Southeast","February",55,55
"53","Southeast","March",48,48
"54","Southeast","April",82,82
"55","Southeast","May",62,62
"56","Southeast","June",75,75
"57","Southeast","July",60,60
"58","Southeast","August",60,60
"59","Southeast","September",59,59
"60","Southeast","October",40,40
"61","Southwest","January",52,52
"62","Southwest","February",41,41
"63","Southwest","March",46,46
"64","Southwest","April",51,51
"65","Southwest","May",57,57
"66","Southwest","June",68,68
"67","Southwest","July",63,63
"68","Southwest","August",56,56
"69","Southwest","September",56,56
"70","Southwest","October",25,25
